ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
PIP-FUCCI,PIP-FUCCI.tif,C1,TRUE,FALSE,182,202.9,27.6,1810,0.136,0.112
PIP-FUCCI,PIP-FUCCI.tif,C1.1,FALSE,TRUE,55,82.2,7.4,540,0.089,0.152
PIP-FUCCI,PIP-FUCCI.tif,C1.2,FALSE,TRUE,45,74.2,7.8,440,0.106,0.169
PIP-FUCCI,PIP-FUCCI.tif,C2,FALSE,FALSE,425,627.1,10.6,4240,0.017,0.148
PIP-FUCCI,PIP-FUCCI.tif,C3,TRUE,FALSE,32,78,22.9,310,0.294,0.252
PIP-FUCCI,PIP-FUCCI.tif,C3.1,TRUE,TRUE,123,178.1,27.7,1220,0.156,0.146
PIP-FUCCI,PIP-FUCCI.tif,C3.1.1,TRUE,TRUE,113,127.2,40.5,1120,0.319,0.114
PIP-FUCCI,PIP-FUCCI.tif,C3.1.1.1,FALSE,TRUE,48,72.9,19.3,470,0.265,0.155
PIP-FUCCI,PIP-FUCCI.tif,C3.1.1.2,FALSE,TRUE,51,74.6,11.1,500,0.148,0.149
PIP-FUCCI,PIP-FUCCI.tif,C3.1.2,TRUE,TRUE,126,126.7,32,1250,0.253,0.101
PIP-FUCCI,PIP-FUCCI.tif,C3.1.2.1,FALSE,TRUE,56,65,4,550,0.061,0.118
PIP-FUCCI,PIP-FUCCI.tif,C3.1.2.2,FALSE,TRUE,103,141.8,23.7,1020,0.167,0.139
PIP-FUCCI,PIP-FUCCI.tif,C3.2,TRUE,TRUE,133,181.2,9.8,1320,0.054,0.137
PIP-FUCCI,PIP-FUCCI.tif,C3.2.1,FALSE,TRUE,137,248.4,26.1,1360,0.105,0.183
PIP-FUCCI,PIP-FUCCI.tif,C3.2.2,TRUE,TRUE,149,224.2,16.1,1480,0.072,0.151
PIP-FUCCI,PIP-FUCCI.tif,C3.2.2.1,FALSE,TRUE,4,8.2,7.3,30,0.882,0.275
PIP-FUCCI,PIP-FUCCI.tif,C3.2.2.2,FALSE,TRUE,8,15.9,7.8,70,0.493,0.227
PIP-FUCCI,PIP-FUCCI.tif,C4,TRUE,FALSE,27,45,13.4,260,0.297,0.173
PIP-FUCCI,PIP-FUCCI.tif,C4.1,TRUE,TRUE,103,237.3,20.2,1020,0.085,0.233
PIP-FUCCI,PIP-FUCCI.tif,C4.1.1,FALSE,TRUE,25,67.2,25,240,0.372,0.28
PIP-FUCCI,PIP-FUCCI.tif,C4.1.2,FALSE,TRUE,33,85.7,16.9,320,0.197,0.268
PIP-FUCCI,PIP-FUCCI.tif,C4.2,TRUE,TRUE,108,203.4,28,1070,0.138,0.19
PIP-FUCCI,PIP-FUCCI.tif,C4.2.1,TRUE,TRUE,125,271,77.4,1240,0.286,0.219
PIP-FUCCI,PIP-FUCCI.tif,C4.2.1.1,FALSE,TRUE,58,115,7.4,570,0.064,0.202
PIP-FUCCI,PIP-FUCCI.tif,C4.2.1.2,FALSE,TRUE,54,103.3,6,530,0.058,0.195
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2,TRUE,TRUE,132,225,22.7,1310,0.101,0.172
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.1,TRUE,TRUE,134,183.4,12.6,1330,0.068,0.138
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.1.1,FALSE,TRUE,19,41.7,9.3,180,0.223,0.232
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.1.2,FALSE,TRUE,21,47.7,6,200,0.126,0.239
PIP-FUCCI,PIP-FUCCI.tif,C4.2.2.2,FALSE,TRUE,158,251,42.7,1570,0.17,0.16
PIP-FUCCI,PIP-FUCCI.tif,C5,TRUE,FALSE,35,58.4,5.6,340,0.095,0.172
PIP-FUCCI,PIP-FUCCI.tif,C5.1,TRUE,TRUE,98,134.9,22.5,970,0.166,0.139
PIP-FUCCI,PIP-FUCCI.tif,C5.1.1,TRUE,TRUE,132,212.7,49.8,1310,0.234,0.162
PIP-FUCCI,PIP-FUCCI.tif,C5.1.1.1,FALSE,TRUE,17,52.7,4.4,160,0.083,0.329
