ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
Feb12,A3_1_Feb12.tif,C1.1,TRUE,TRUE,145,375.9,155.4,1440,0.413,0.261
Feb12,A3_1_Feb12.tif,C1.2,TRUE,TRUE,182,631.8,36.8,1810,0.058,0.349
Feb12,A3_1_Feb12.tif,C7.1,TRUE,TRUE,219,462.8,5.1,2180,0.011,0.212
Feb12,A3_1_Feb12.tif,C7.2,TRUE,TRUE,212,472,64.7,2110,0.137,0.224
Feb12,A3_1_Feb12.tif,C9.1,TRUE,TRUE,149,460.1,55.5,1480,0.121,0.311
Feb12,A3_1_Feb12.tif,C9.2,TRUE,TRUE,170,565.6,131.5,1690,0.232,0.335
Feb12,A3_1_Feb12.tif,C12.1,TRUE,TRUE,142,447.1,98.3,1410,0.22,0.317
Feb12,A3_1_Feb12.tif,C12.2,TRUE,TRUE,143,436.4,84.5,1420,0.194,0.307
Feb12,A3_1_Feb12.tif,C13.1,TRUE,TRUE,167,418,81.3,1660,0.194,0.252
Feb12,A3_1_Feb12.tif,C13.2,TRUE,TRUE,179,520.8,37.9,1780,0.073,0.293
Feb12,A3_1_Feb12.tif,C13.2.1,TRUE,TRUE,199,558.9,36.9,1980,0.066,0.282
Feb12,A3_1_Feb12.tif,C14.1,TRUE,TRUE,237,906.3,296.6,2360,0.327,0.384
Feb12,A3_1_Feb12.tif,C14.2,TRUE,TRUE,244,741.5,239.3,2430,0.323,0.305
Feb12,A3_1_Feb12.tif,C15.1,TRUE,TRUE,126,363.2,26.2,1250,0.072,0.291
Feb12,A3_1_Feb12.tif,C15.1.1,TRUE,TRUE,194,512.1,23.2,1930,0.045,0.265
Feb12,A3_1_Feb12.tif,C15.1.2,TRUE,TRUE,192,503.6,33.5,1910,0.067,0.264
Feb12,A3_1_Feb12.tif,C15.2,TRUE,TRUE,122,352.8,48.5,1210,0.137,0.292
Feb12,A3_1_Feb12.tif,C15.2.2,TRUE,TRUE,152,393.4,22,1510,0.056,0.261
Feb12,A3_1_Feb12.tif,C17.1,TRUE,TRUE,180,485.9,81.5,1790,0.168,0.271
Feb12,A3_1_Feb12.tif,C17.2,TRUE,TRUE,227,596.6,72.6,2260,0.122,0.264
Feb12,A3_1_Feb12.tif,C18.1,TRUE,TRUE,185,635,194.7,1840,0.307,0.345
Feb12,A3_1_Feb12.tif,C18.2,TRUE,TRUE,320,994.3,107,3190,0.108,0.312
Feb12,A3_1_Feb12.tif,C20.1,TRUE,TRUE,286,1048,355.6,2850,0.339,0.368
Feb12,A3_1_Feb12.tif,C20.2,TRUE,TRUE,229,741.7,188.3,2280,0.254,0.325
Feb12,A3_1_Feb12.tif,C23.1,TRUE,TRUE,154,563.3,37.7,1530,0.067,0.368
Feb12,A3_1_Feb12.tif,C23.2,TRUE,TRUE,88,449.3,99.5,870,0.221,0.516
Feb12,A3_1_Feb12.tif,C23.2.1,TRUE,TRUE,161,493.6,35.8,1600,0.073,0.308
Feb12,A3_1_Feb12.tif,C24.1,TRUE,TRUE,149,546.5,99.4,1480,0.182,0.369
Feb12,A3_1_Feb12.tif,C24.2,TRUE,TRUE,161,514.5,129.5,1600,0.252,0.322
Feb12,A3_1_Feb12.tif,C25.1,TRUE,TRUE,140,658.2,157.9,1390,0.24,0.474
Feb12,A3_1_Feb12.tif,C25.2,TRUE,TRUE,168,739.4,128,1670,0.173,0.443
Feb12,A3_1_Feb12.tif,C27.1,TRUE,TRUE,173,638.9,150.4,1720,0.235,0.371
Feb12,A3_1_Feb12.tif,C27.2,TRUE,TRUE,188,514.6,62,1870,0.12,0.275
Feb12,A3_1_Feb12.tif,C28.1,TRUE,TRUE,157,610.3,189.2,1560,0.31,0.391
Feb12,A3_1_Feb12.tif,C28.1.2,TRUE,TRUE,175,509.8,119.5,1740,0.234,0.293
Feb12,A3_1_Feb12.tif,C28.2,TRUE,TRUE,148,680.8,52.2,1470,0.077,0.463
Feb12,A3_1_Feb12.tif,C29.1,TRUE,TRUE,284,866.4,152.2,2830,0.176,0.306
