ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
Feb12,C10_2_Feb12.tif,C23.2,TRUE,TRUE,126,427,207.3,1250,0.485,0.342
Feb12,C10_2_Feb12.tif,C23.2.1,TRUE,TRUE,176,596,206.4,1750,0.346,0.341
Feb12,C10_2_Feb12.tif,C23.2.2,TRUE,TRUE,171,506.7,124.2,1700,0.245,0.298
Feb12,C10_2_Feb12.tif,C24.1,TRUE,TRUE,251,822.9,146.2,2500,0.178,0.329
Feb12,C10_2_Feb12.tif,C24.2,TRUE,TRUE,144,468.3,94.4,1430,0.202,0.327
Feb12,C10_2_Feb12.tif,C25.1,TRUE,TRUE,210,1168.5,124.9,2090,0.107,0.559
Feb12,C10_2_Feb12.tif,C25.2,TRUE,TRUE,224,1132.3,286.4,2230,0.253,0.508
Feb12,C10_2_Feb12.tif,C27.1,TRUE,TRUE,138,542,121.2,1370,0.224,0.396
Feb12,C10_2_Feb12.tif,C27.1.1,TRUE,TRUE,188,584.6,74,1870,0.127,0.313
Feb12,C10_2_Feb12.tif,C27.1.2,TRUE,TRUE,202,486,20,2010,0.041,0.242
Feb12,C10_2_Feb12.tif,C27.2,TRUE,TRUE,162,883.9,121.8,1610,0.138,0.549
Feb12,C10_2_Feb12.tif,C27.2.2,TRUE,TRUE,230,951.1,409,2290,0.43,0.415
Feb12,C10_2_Feb12.tif,C28.1,TRUE,TRUE,298,1920.7,61.5,2970,0.032,0.647
Feb12,C10_2_Feb12.tif,C28.2,TRUE,TRUE,240,1346.3,265.7,2390,0.197,0.563
Feb12,C10_2_Feb12.tif,C29.1,TRUE,TRUE,190,910.8,186.6,1890,0.205,0.482
Feb12,C10_2_Feb12.tif,C29.1.2,TRUE,TRUE,147,460,85.1,1460,0.185,0.315
Feb12,C10_2_Feb12.tif,C29.2,TRUE,TRUE,191,860.5,249.1,1900,0.289,0.453
Feb12,C10_2_Feb12.tif,C30.1,TRUE,TRUE,153,405.9,51.1,1520,0.126,0.267
Feb12,C10_2_Feb12.tif,C30.2,TRUE,TRUE,161,402.3,84.3,1600,0.21,0.251
Feb12,C10_2_Feb12.tif,C32.1,TRUE,TRUE,228,581.8,211.6,2270,0.364,0.256
Feb12,C10_2_Feb12.tif,C32.2,TRUE,TRUE,207,514.7,214.6,2060,0.417,0.25
Feb12,C10_2_Feb12.tif,C33.1,TRUE,TRUE,226,742.5,71.6,2250,0.096,0.33
