ExperimentName,TiffFileName,CellName,isDivided,isDaughter,nImages,Distance,Displacement,TrajectoryTime,Directionality,AverageSpeed
Feb12,A3_1_Feb12.tif,C1.1,TRUE,TRUE,145,375.9,155.4,1440,0.413,0.261
Feb12,A3_1_Feb12.tif,C1.1.1,FALSE,TRUE,188,590.9,141.6,1870,0.24,0.316
Feb12,A3_1_Feb12.tif,C1.1.2,FALSE,TRUE,188,516.2,71.9,1870,0.139,0.276
Feb12,A3_1_Feb12.tif,C1.2,TRUE,TRUE,182,631.8,36.8,1810,0.058,0.349
Feb12,A3_1_Feb12.tif,C1.2.1,FALSE,TRUE,151,455.3,110.9,1500,0.243,0.304
Feb12,A3_1_Feb12.tif,C1.2.2,FALSE,TRUE,151,445.5,39.2,1500,0.088,0.297
Feb12,A3_1_Feb12.tif,C2.1,FALSE,TRUE,267,652.4,75.3,2660,0.115,0.245
Feb12,A3_1_Feb12.tif,C2.2,FALSE,TRUE,267,666.5,39.4,2660,0.059,0.251
Feb12,A3_1_Feb12.tif,C3.1,FALSE,TRUE,248,645.9,24.9,2470,0.039,0.261
Feb12,A3_1_Feb12.tif,C3.2,FALSE,TRUE,248,739.8,95.1,2470,0.129,0.299
Feb12,A3_1_Feb12.tif,C4.1,FALSE,TRUE,186,451.4,45.1,1850,0.1,0.244
Feb12,A3_1_Feb12.tif,C4.2,FALSE,TRUE,186,528.8,123.2,1850,0.233,0.286
Feb12,A3_1_Feb12.tif,C5.1,FALSE,TRUE,318,1145.2,199.8,3170,0.174,0.361
Feb12,A3_1_Feb12.tif,C5.2,FALSE,TRUE,183,521.9,61.4,1820,0.118,0.287
Feb12,A3_1_Feb12.tif,C6.1,FALSE,TRUE,10,36.5,14.1,90,0.387,0.406
Feb12,A3_1_Feb12.tif,C6.2,FALSE,TRUE,6,19.9,2.8,50,0.139,0.398
Feb12,A3_1_Feb12.tif,C7.1,TRUE,TRUE,219,462.8,5.1,2180,0.011,0.212
Feb12,A3_1_Feb12.tif,C7.1.1,FALSE,TRUE,59,136.7,28.3,580,0.207,0.236
Feb12,A3_1_Feb12.tif,C7.1.2,FALSE,TRUE,59,125.9,15.9,580,0.126,0.217
